Name,Comment,Time,Likes,Reply Count
Sudatip Laant,อยากให้พี่พาทัวร์ คณะทันตแพทย หน่อยค่ะ😊😊,2022-06-26T02:01:06Z,0,0
Tempest Double,ใจเย็นพี่ชาย,2022-06-02T13:43:16Z,0,0
Fasai Fasai,คณะสถาปัตยกรรมศาสตร์กับคณะอักษรศาสตร์อยู่ใกล้ๆกันมั้ยค่ะคือมีเพื่อนไปที่เดียวกันอยากอยู่หอด้วยกันค่ะ,2021-08-08T09:13:18Z,0,1
Gee Babygee,ทางมข.เป็นคณะมนุษย์น้าา ใกล้ค่าอยู่แถวๆเดียวกันเลยน้าาา,2021-08-08T09:16:00Z,1,
Porprang Channel,555,2021-08-02T07:20:12Z,0,0
ซูซี่,มข เป็น ม รัฐ​ หรือ  ม เอกชน​ค่ะ คนลาวเข้าได้ไหมอ่ะ,2021-07-29T02:07:51Z,1,1
Gee Babygee,เห็นในกระทู้มีคนที่ลาวมาเรียนอยู่นะคะแต่ว่ามาในรูปแบบไหนเราไม่แน่ใจค่ะลองสอบถามที่ลิงค์นี้ได้น้าาเป็นเฟสบุ๊คค่ะ https://m.facebook.com/KKUAdmissionsOfficial/,2021-07-29T02:14:31Z,0,
木나무,อ้าว เขาเรียก บึงสีฐาน หรอ นี้เรียก หนองแวง555555,2021-07-23T09:37:13Z,0,1
Gee Babygee,บึงสีฐานตะหากก5555,2021-08-29T10:14:16Z,0,
ลมพา ธิจร,อยากให้พาทัวร์คณะวิทค่ะ,2021-07-06T08:03:01Z,0,0
ʏᴏɢᴇʀᴛʜx.🥣,อยากให้พี่พาทัวร์คณะเเพทย์ศาสตร์จังเลยค่าา🥺💕🤏🏻,2021-07-04T03:43:46Z,1,0
p.y.t 5 เพื่อนที่รัก,พี่ค่ะถ้าเราเรียนสายศิลป์เราสามารถสอบเข้าแพทย์ได้ไหมค่ะ และต้องสอบเข้ารอบไหนคาะ,2021-06-11T14:02:25Z,0,0
Muek Ritchuay,มนุษย์สี่สาม  คิดถึง มข.สุดๆ,2021-05-07T17:40:26Z,0,0
p.y.t 5 เพื่อนที่รัก,พี่ค่ะ มข. สอบเข้ายากมั้ยค่ะ,2021-05-04T14:32:21Z,1,0
PANGPOND,คิดถึง มข. มากจากเด็กขอนแก่น,2021-05-03T12:33:57Z,3,0
แอลล์,อยากให้พี่ทัวร์คณะแพทยศาสตร์หน่อยค่ะ🙏💗,2021-03-29T11:07:09Z,2,1
Piyathida Chanbua,ดันๆ,2021-05-03T08:39:48Z,0,
รฏา เกรียงไกร,เคยไปแล้ววันวิทยาศาสตร์5555,2021-03-28T14:18:13Z,0,0
TakeMehome​  Coutry​Road​,ไม่เคยไป ม.ข. แต่ไป ม.ช. คือ สวยมากๆ ธรรมชาติ​สีเขียว,2021-02-17T08:18:41Z,0,0
Nada It,พี่ครับขอคณะพยาบาลด้วยนะครับ❤️🥰,2021-01-31T10:30:57Z,1,0
ROŚE LALISA,"ตึกวิศวะหนูเคยเข้าไปสอบชิงทุนของบริษัท SCG ขอนแก่น ค่ะ คือแอร์คือหนาวมากกแบบ นอกห้อง 40C
ในห้อง 10C ค่ะ555+หนาวจริง",2021-01-27T10:09:54Z,0,0
PUNG,คิดถึง มข,2021-01-26T10:35:51Z,1,0
Pawanrat Kunjandee,ขออนุญาตสอบถามนะคะ มข รับเด็กสายอาชีพหรือป่าวคั,2020-12-02T02:45:45Z,0,1
Gee Babygee,เหมือนว่าจะรับนะคะแต่อาจจะต้องตรงตามเกณฑ์ของคณะแล้วก็สาขากำหนดน้าา ศึกษาข้อมูลเพิ่มเติมได้ที่ตรงนี้เยยน้าา https://admissions.kku.ac.th,2020-12-02T10:48:54Z,0,
dear,พี่คะ มข.จะมีโอเพ้นเฮ้าวันไหนหรอคะ,2020-11-30T13:02:08Z,0,0
Yada phon,ซื้อไมค์นะคะพี่,2020-11-26T12:23:38Z,0,0
Konkanok,อยากให้พาทัวร์คณะมนุษย์ศาสตร์ค่ะ,2020-11-25T11:45:41Z,2,1
Nueng maya,ดันๆ,2021-10-10T07:41:08Z,0,
Heavenly Beat,หลังมอ ยังมีโต๊ะบอลอยู่มะ,2020-11-22T03:58:34Z,0,0
ธนัชพร แต่งเมือง,อยากให้พี่รีวิวคณะทัตแพทย์ศาสตน์ค่ะ,2020-11-14T23:21:52Z,1,0
BLacK A,สวยมากเลย,2020-10-19T12:16:46Z,0,0
สาวขอนแก่นคนงาม คนงาม,สวันดีจ้าาา พี่แดง อยู่ pcu นศ น่าจ้าาา,2020-10-18T02:12:36Z,0,0
Chanthakan​ Junjua,อยากให้พี่ทัวร์คณะพยาบาลศาสตร์ค่ะ,2020-10-11T12:06:22Z,0,0
ศศิวิมล ปักการัตน์,อยากให้พี่ทำทัวร์คณะสถาปัตย์ค่ะ,2020-09-26T10:16:42Z,8,0
Religion Share,อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว พระเจ้าสูงสุดฆ่าคนเลว(@IG(Supreme god kill the bad guys),2020-09-19T18:17:30Z,0,1
สมปอง รักภักดี,พี่จีคะอยากให้พี่พาทัวร์คณะวิทหน่อยคะ😁💗,2020-09-18T09:14:07Z,1,0
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,..,,,",2020-09-16T15:20:28Z,0,0
บัง บวย,เหมือนมินตันเลย,2020-09-14T23:51:45Z,0,0
Katai Story,ทำคลิปน่ารักมากคะ ชอบๆค่ะ,2020-09-13T16:33:58Z,1,1
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,....,,,",2020-09-16T15:20:55Z,0,
Mp3Download,เกือบได้ไปมอดินแดงละ ตอนแอดลงเอกจีนมขไว้อันดับ3 แต่ติดอันดับ2ซะก่อน ^_^,2020-09-11T11:58:13Z,1,0
Suchanya Kengkwasing,อยากให้พี่ทำคริปเเบบเที่ยวคาเฟ่ข้างมข.อะค่ะ,2020-09-04T07:40:21Z,1,0
u u,ดีมากเลยค่ะมีการไม่เผยหน้าคนอื่นด้วย พี่ทำถูกมาก❤️✌️,2020-09-01T08:34:19Z,3,0
Wipxwxdee,อยากให้พี่ทัวร์คณะแพทย์ค่ะ,2020-08-29T01:24:31Z,0,0
Piya Bird,น่ารักจังคับ😅😅😅😅,2020-08-23T21:45:08Z,0,0
Khata Channel,พี่ใช้กล้องอะไรถ่ายหรอครับบบ,2020-08-07T17:19:19Z,0,1
